ranking,name,score,link
230,Kobayashi-san Chi no Maid Dragon S,8.32,https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S
231,Natsume Yuujinchou Go Specials,8.32,https://myanimelist.net/anime/34534/Natsume_Yuujinchou_Go_Specials
232,Ookami to Koushinryou II,8.32,https://myanimelist.net/anime/5341/Ookami_to_Koushinryou_II
233,Romeo no Aoi Sora,8.32,https://myanimelist.net/anime/2559/Romeo_no_Aoi_Sora
234,Natsume Yuujinchou,8.31,https://myanimelist.net/anime/4081/Natsume_Yuujinchou
235,NHK ni Youkoso!,8.31,https://myanimelist.net/anime/1210/NHK_ni_Youkoso
236,Sakamichi no Apollon,8.31,https://myanimelist.net/anime/12531/Sakamichi_no_Apollon
237,Shelter (Music),8.31,https://myanimelist.net/anime/34240/Shelter_Music
238,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.31,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai
239,Boku dake ga Inai Machi,8.31,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi
240,Evangelion: 2.0 You Can (Not) Advance,8.31,https://myanimelist.net/anime/3784/Evangelion__20_You_Can_Not_Advance
241,Hunter x Hunter: Original Video Animation,8.31,https://myanimelist.net/anime/137/Hunter_x_Hunter__Original_Video_Animation
